Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2014
310M200US30340,30340,"Lewiston-Auburn, ME Metro Area",107702,107702,107440
310M200US30460,30460,"Lexington-Fayette, KY Metro Area",472099,472099,494189
310M200US30620,30620,"Lima, OH Metro Area",106331,106331,105040
310M200US30700,30700,"Lincoln, NE Metro Area",302157,302157,318945
310M200US30780,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",699757,699799,729135
310M200US30860,30860,"Logan, UT-ID Metro Area",125442,125442,131364
310M200US30980,30980,"Longview, TX Metro Area",214369,214378,217481
310M200US31020,31020,"Longview, WA Metro Area",102410,102410,102133
310M200US31080,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",12828837,12828933,13262220
310M200US31140,31140,"Louisville/Jefferson County, KY-IN Metro Area",1235708,1235710,1269702
310M200US31180,31180,"Lubbock, TX Metro Area",290805,290805,305644
310M200US31340,31340,"Lynchburg, VA Metro Area",252634,252656,257835
310M200US31420,31420,"Macon, GA Metro Area",232293,232293,230450
310M200US31460,31460,"Madera, CA Metro Area",150865,150865,154548
310M200US31540,31540,"Madison, WI Metro Area",605435,605437,633787
310M200US31700,31700,"Manchester-Nashua, NH Metro Area",400721,400721,405184
310M200US31740,31740,"Manhattan, KS Metro Area",92719,92735,98091
310M200US31860,31860,"Mankato-North Mankato, MN Metro Area",96740,96740,98478
310M200US31900,31900,"Mansfield, OH Metro Area",124475,124475,121942
310M200US32420,32420,"Mayagüez, PR Metro Area",106330,106330,98661
310M200US32580,32580,"McAllen-Edinburg-Mission, TX Metro Area",774769,774773,831073
310M200US32780,32780,"Medford, OR Metro Area",203206,203206,210287
310M200US32820,32820,"Memphis, TN-MS-AR Metro Area",1324829,1324829,1343230
310M200US32900,32900,"Merced, CA Metro Area",255793,255798,266353
310M200US33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",5564635,5566299,5929819
310M200US33140,33140,"Michigan City-La Porte, IN Metro Area",111467,111467,111444
310M200US33220,33220,"Midland, MI Metro Area",83629,83629,83427
310M200US33260,33260,"Midland, TX Metro Area",141671,141674,161290
310M200US33340,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",1555908,1555954,1572245
310M200US33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3348859,3348857,3495176
310M200US33540,33540,"Missoula, MT Metro Area",109299,109299,112684
310M200US33660,33660,"Mobile, AL Metro Area",412992,413143,415123
310M200US33700,33700,"Modesto, CA Metro Area",514453,514451,531997
310M200US33740,33740,"Monroe, LA Metro Area",176441,176502,178864
310M200US33780,33780,"Monroe, MI Metro Area",152021,152021,149824
310M200US33860,33860,"Montgomery, AL Metro Area",374536,374529,373141
310M200US34060,34060,"Morgantown, WV Metro Area",129709,129709,137251
310M200US34100,34100,"Morristown, TN Metro Area",113951,114111,115713
310M200US34580,34580,"Mount Vernon-Anacortes, WA Metro Area",116901,116901,120365
310M200US34620,34620,"Muncie, IN Metro Area",117671,117671,117074
310M200US34740,34740,"Muskegon, MI Metro Area",172188,172188,172344
310M200US34820,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",376722,376722,417668
310M200US34900,34900,"Napa, CA Metro Area",136484,136530,141667
310M200US34940,34940,"Naples-Immokalee-Marco Island, FL Metro Area",321520,321520,348777
310M200US34980,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1670890,1670900,1792649
310M200US35100,35100,"New Bern, NC Metro Area",126802,126802,127534
310M200US35300,35300,"New Haven-Milford, CT Metro Area",862477,862474,861277
310M200US35380,35380,"New Orleans-Metairie, LA Metro Area",1189866,1189863,1251849
310M200US35620,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",19567410,19566440,20092883
310M200US35660,35660,"Niles-Benton Harbor, MI Metro Area",156813,156817,155233
310M200US35840,35840,"North Port-Sarasota-Bradenton, FL Metro Area",702281,702270,748708
310M200US35980,35980,"Norwich-New London, CT Metro Area",274055,274046,273676
310M200US36100,36100,"Ocala, FL Metro Area",331298,331303,339167
310M200US36140,36140,"Ocean City, NJ Metro Area",97265,97265,95344
310M200US36220,36220,"Odessa, TX Metro Area",137130,137133,153904
310M200US36260,36260,"Ogden-Clearfield, UT Metro Area",597159,597159,632293
310M200US36420,36420,"Oklahoma City, OK Metro Area",1252987,1252992,1336767
310M200US36500,36500,"Olympia-Tumwater, WA Metro Area",252264,252264,265851
310M200US36540,36540,"Omaha-Council Bluffs, NE-IA Metro Area",865350,865350,904421
310M200US36740,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2134411,2134406,2321418
310M200US36780,36780,"Oshkosh-Neenah, WI Metro Area",166994,166994,169511
310M200US36980,36980,"Owensboro, KY Metro Area",114752,114755,116506
310M200US37100,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",823318,823420,846178
310M200US37340,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",543376,543378,556885
310M200US37460,37460,"Panama City, FL Metro Area",184715,184715,194929
310M200US37620,37620,"Parkersburg-Vienna, WV Metro Area",92673,92673,92082
310M200US37860,37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",448991,448991,474081
310M200US37900,37900,"Peoria, IL Metro Area",379186,379186,380040
310M200US37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",5965343,5965368,6051170
310M200US38060,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4192887,4193127,4489109
310M200US38220,38220,"Pine Bluff, AR Metro Area",100258,100258,94716
310M200US38300,38300,"Pittsburgh, PA Metro Area",2356285,2356285,2355968
310M200US38340,38340,"Pittsfield, MA Metro Area",131219,131272,128715
310M200US38540,38540,"Pocatello, ID Metro Area",82839,82839,83347
310M200US38660,38660,"Ponce, PR Metro Area",350480,350480,325929
310M200US38860,38860,"Portland-South Portland, ME Metro Area",514098,514100,523552
310M200US38900,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2226009,2226011,2348247
310M200US38940,38940,"Port St. Lucie, FL Metro Area",424107,424107,444420
310M200US39140,39140,"Prescott, AZ Metro Area",211033,211015,218844
310M200US39300,39300,"Providence-Warwick, RI-MA Metro Area",1600852,1601216,1609367
310M200US39340,39340,"Provo-Orem, UT Metro Area",526810,526810,571460
310M200US39380,39380,"Pueblo, CO Metro Area",159063,159063,161875
310M200US39460,39460,"Punta Gorda, FL Metro Area",159978,159989,168474
310M200US39540,39540,"Racine, WI Metro Area",195408,195428,195163
